date,store_name,product_name,size,sku,price,units_sold,units_restocked,estimated_revenue,stock_remaining_today,product_url
2026-08-29,Cava Athleisure,Brown Trailscape Tracks,30,MJR5410BNS,2049.0,0,1,0.0,1,https://cavaathleisure.com/products/brown-trailscape-tracks
2026-08-29,Cava Athleisure,Cherry Heartline Sports Bra,S,WSB3918RDS,1399.0,0,1,0.0,1,https://cavaathleisure.com/products/cherry-heartline-sports-bra
2026-08-29,Cava Athleisure,Cherry Heartline Sports Bra,M,WSB3918RDM,1399.0,0,1,0.0,1,https://cavaathleisure.com/products/cherry-heartline-sports-bra
2026-08-29,Cava Athleisure,Cherry Heartline Sports Bra,XXL,WSB3918RDXXL,1399.0,0,1,0.0,1,https://cavaathleisure.com/products/cherry-heartline-sports-bra
2026-08-29,Cava Athleisure,Light Grey Trailscape Tracks,30,MJR5410GYS,2049.0,2,0,4098.0,3,https://cavaathleisure.com/products/light-grey-trailscape-tracks
2026-08-29,Cava Athleisure,Light Grey Trailscape Tracks,32,MJR5410GYM,2049.0,0,4,0.0,20,https://cavaathleisure.com/products/light-grey-trailscape-tracks
2026-08-29,Cava Athleisure,Light Grey Trailscape Tracks,34,MJR5410GYL,2049.0,0,1,0.0,34,https://cavaathleisure.com/products/light-grey-trailscape-tracks
2026-08-29,Cava Athleisure,Brown Hourglass Booty Shorts,XS,WSH0845BNXS,1099.0,0,1,0.0,38,https://cavaathleisure.com/products/brown-hourglass-booty-shorts
2026-08-29,Cava Athleisure,Brown Hourglass Booty Shorts,M,WSH0845BNM,1099.0,1,0,1099.0,17,https://cavaathleisure.com/products/brown-hourglass-booty-shorts
2026-08-29,Cava Athleisure,Navy Trailscape Tracks,30,MJR5410NYS,2049.0,1,0,2049.0,1,https://cavaathleisure.com/products/navy-trailscape-tracks
2026-08-29,Cava Athleisure,Navy Trailscape Tracks,34,MJR5410NYL,2049.0,0,1,0.0,41,https://cavaathleisure.com/products/navy-trailscape-tracks
2026-08-29,Cava Athleisure,Navy Trailscape Tracks,36,MJR5410NYXL,2049.0,1,0,2049.0,63,https://cavaathleisure.com/products/navy-trailscape-tracks
2026-08-29,Cava Athleisure,Black Trailscape Tracks,32,MJR5410BKM,2049.0,0,3,0.0,3,https://cavaathleisure.com/products/black-trailscape-tracks
2026-08-29,Cava Athleisure,Black Trailscape Tracks,34,MJR5410BKL,2049.0,0,2,0.0,2,https://cavaathleisure.com/products/black-trailscape-tracks
2026-08-29,Cava Athleisure,Black Trailscape Tracks,36,MJR5410BKXL,2049.0,1,0,2049.0,21,https://cavaathleisure.com/products/black-trailscape-tracks
2026-08-29,Cava Athleisure,Black Trailscape Tracks,38,MJR5410BKXXL,2049.0,0,1,0.0,35,https://cavaathleisure.com/products/black-trailscape-tracks
2026-08-29,Cava Athleisure,Coral Sculpt Crew Top,XS,WTP0218ORXS,899.0,1,0,899.0,79,https://cavaathleisure.com/products/coral-sculpt-crew-top
2026-08-29,Cava Athleisure,Coral Sculpt Crew Top,S,WTP0218ORS,899.0,2,0,1798.0,199,https://cavaathleisure.com/products/coral-sculpt-crew-top
2026-08-29,Cava Athleisure,Coral Sculpt Crew Top,M,WTP0218ORM,899.0,1,0,899.0,227,https://cavaathleisure.com/products/coral-sculpt-crew-top
2026-08-29,Cava Athleisure,Mint Sculpt Crew Top,XS,WTP0218GRXS,899.0,1,0,899.0,52,https://cavaathleisure.com/products/mint-sculpt-crew-top
2026-08-29,Cava Athleisure,Mint Sculpt Crew Top,S,WTP0218GRS,899.0,1,0,899.0,172,https://cavaathleisure.com/products/mint-sculpt-crew-top
2026-08-29,Cava Athleisure,Mint Sculpt Crew Top,M,WTP0218GRM,899.0,1,0,899.0,161,https://cavaathleisure.com/products/mint-sculpt-crew-top
2026-08-29,Cava Athleisure,Mint Sculpt Crew Top,L,WTP0218GRL,899.0,1,0,899.0,63,https://cavaathleisure.com/products/mint-sculpt-crew-top
2026-08-29,Cava Athleisure,Mint Sculpt Crew Top,XL,WTP0218GRXL,899.0,1,0,899.0,23,https://cavaathleisure.com/products/mint-sculpt-crew-top
2026-08-29,Cava Athleisure,Coral Sculpt Core Top,XS,WTP0118ORXS,799.0,1,0,799.0,91,https://cavaathleisure.com/products/coral-sculpt-core-top
2026-08-29,Cava Athleisure,Coral Sculpt Core Top,S,WTP0118ORS,799.0,3,0,2397.0,114,https://cavaathleisure.com/products/coral-sculpt-core-top
2026-08-29,Cava Athleisure,Coral Sculpt Core Top,M,WTP0118ORM,799.0,6,0,4794.0,15,https://cavaathleisure.com/products/coral-sculpt-core-top
2026-08-29,Cava Athleisure,Coral Sculpt Core Top,XXL,WTP0118ORXXL,799.0,0,1,0.0,1,https://cavaathleisure.com/products/coral-sculpt-core-top
2026-08-29,Cava Athleisure,Mint Sculpt Core Top,XS,WTP0118GRXS,799.0,0,2,0.0,5,https://cavaathleisure.com/products/mint-sculpt-core-top
2026-08-29,Cava Athleisure,Mint Sculpt Core Top,S,WTP0118GRS,799.0,0,1,0.0,1,https://cavaathleisure.com/products/mint-sculpt-core-top
2026-08-29,Cava Athleisure,Mint Sculpt Core Top,L,WTP0118GRL,799.0,0,1,0.0,1,https://cavaathleisure.com/products/mint-sculpt-core-top
2026-08-29,Cava Athleisure,Mint Sculpt Booty Shorts,L,WSH0418GRL,999.0,2,0,1998.0,104,https://cavaathleisure.com/products/mint-sculpt-booty-shorts
2026-08-29,Cava Athleisure,Mint Sculpt Bootcut Leggings,XS,WFP0118GRXS,1299.0,1,0,1299.0,59,https://cavaathleisure.com/products/mint-sculpt-bootcut-leggings
2026-08-29,Cava Athleisure,Mint Sculpt Bootcut Leggings,S,WFP0118GRS,1299.0,1,0,1299.0,128,https://cavaathleisure.com/products/mint-sculpt-bootcut-leggings
2026-08-29,Cava Athleisure,Mint Sculpt Bootcut Leggings,S,WFP01T18GRS,1299.0,2,0,2598.0,154,https://cavaathleisure.com/products/mint-sculpt-bootcut-leggings
2026-08-29,Cava Athleisure,Mint Sculpt Bootcut Leggings,M,WFP0118GRM,1299.0,1,0,1299.0,203,https://cavaathleisure.com/products/mint-sculpt-bootcut-leggings
